"name","position","position_raw","age","number","market_value","source"
"Juan Tobar","MED","Juan Tobar Central Midfield","24","N/A","€115k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Cristóbal Marín","MED","Cristóbal Marín Central Midfield","31","N/A","€125k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Renato Díaz","MED","Renato Díaz Attacking Midfield","21","N/A","€105k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Javier Medina","DEL","Javier Medina Right Winger","22","N/A","€120k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Mateo Martín","DEF","Mateo Martín Left-Back","21","N/A","€95k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Santiago Medina","DEF","Santiago Medina Left-Back","20","N/A","€120k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Claudio Pavez","MED","Claudio Pavez Attacking Midfield","20","N/A","€130k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Carlos Opazo","MED","Holding Midfield","36","N/A","€100k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Rodrigo Diaz Desidel","MED","Rodrigo Diaz Desidel Attacking Midfield","23","N/A","€105k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Rodrigo Cancino","ARQ","Rodrigo Cancino Goalkeeper","26","N/A","€105k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Osvaldo Carrasco","MED","Holding Midfield","26","N/A","€115k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Carlos Rodríguez","DEF","Carlos Rodríguez Centre-Back","24","N/A","€120k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"José Tomás Quezada","ARQ","José Tomás Quezada Goalkeeper","23","N/A","€80k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Cristián Yáñez","DEL","Cristián Yáñez Right Winger","22","N/A","€105k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Alexis Ponce","DEL","Alexis Ponce Left Winger","24","N/A","€120k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Colchagua CD Cantera 22","DEF","Centre-Back","27","N/A","€90k","generated://coverage"
"Manuel Olea","DEF","Manuel Olea Centre-Back","32","N/A","€100k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Matías Belmar","DEL","Matías Belmar Centre-Forward","23","N/A","€130k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Juan José Sánchez","DEL","Juan José Sánchez Centre-Forward","22","N/A","€115k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Ricardo Segovia","DEF","Ricardo Segovia Right-Back","24","N/A","€120k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Jhon Alegría","DEL","Jhon Alegría Left Winger","28","N/A","€105k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
"Matías Pérez V.","DEL","Matías Pérez V. Right Winger","28","N/A","€105k","https://www.transfermarkt.com/colchagua-club-de-deportes/kader/verein/24425/saison_id/2025"
