"name","position","position_raw","age","number","market_value","source"
"José Molina","MED","José Molina Central Midfield","25","N/A","€105k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Fernando Valdivia","DEF","Fernando Valdivia Left-Back","21","N/A","€120k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Willian Gama","DEL","Willian Gama Right Winger","25","N/A","€120k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Celso Castillo","ARQ","Celso Castillo Goalkeeper","27","N/A","€80k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Bryan Figueroa","MED","Bryan Figueroa Attacking Midfield","26","N/A","€120k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Felipe Lee-Chong","DEF","Felipe Lee-Chong Centre-Back","28","N/A","€100k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Cristóbal Díaz","DEL","Cristóbal Díaz Right Winger","24","N/A","€135k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Flavio Rojas","DEF","Flavio Rojas Centre-Back","32","N/A","€95k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Gustavo Gallardo","MED","Gustavo Gallardo Central Midfield","24","N/A","€125k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Ricardo Sánchez","MED","Ricardo Sánchez Central Midfield","26","N/A","€130k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Deportes Linares Cantera 21","DEF","Centre-Back","28","N/A","€110k","generated://coverage"
"Kurt González","ARQ","Kurt González Goalkeeper","21","N/A","€80k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"José Palma","DEL","José Palma Centre-Forward","21","N/A","€120k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Álvaro Espinoza","MED","Álvaro Espinoza Central Midfield","22","N/A","€105k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Deportes Linares Cantera 20","DEF","Right-Back","27","N/A","€105k","generated://coverage"
"Matías Pavez","MED","Matías Pavez Central Midfield","26","N/A","€125k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Diego Vallejos","DEL","Diego Vallejos Centre-Forward","35","N/A","€130k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Benjamín Vásquez","MED","Benjamín Vásquez Central Midfield","21","N/A","€115k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Axel Cortés Urqueta","DEF","Axel Cortés Urqueta Right-Back","26","N/A","€95k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Bastián Bravo","MED","Holding Midfield","21","N/A","€120k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
"Hugo Toro","DEL","Hugo Toro Centre-Forward","28","N/A","€110k","https://www.transfermarkt.com/club-deportivo-linares-unido/kader/verein/25689/saison_id/2025"
