"name","position","position_raw","age","number","market_value","source"
"Hugo Faúndez","ARQ","Hugo Faúndez Goalkeeper","23","N/A","€85k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Gastón Pedernera","DEL","Gastón Pedernera Left Winger","25","N/A","€130k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Eduardo Navarrete","DEF","Eduardo Navarrete Centre-Back","24","N/A","€90k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Mario Aguilar","DEF","Mario Aguilar Centre-Back","23","N/A","€105k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Gustavo Castro","DEL","Gustavo Castro Centre-Forward","25","N/A","€110k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Luciano Meneses","DEF","Luciano Meneses Centre-Back","29","N/A","€95k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Diego González Saavedra","MED","Diego González Saavedra Central Midfield","27","N/A","€130k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Daniel Vicencio","DEF","Daniel Vicencio Centre-Back","33","N/A","€120k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Agustín Ambiado","DEF","Agustín Ambiado Left-Back","25","N/A","€100k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Paolo Fuentes","MED","Holding Midfield","25","N/A","€130k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Gonzalo Lauler","DEF","Gonzalo Lauler Centre-Back","37","N/A","€90k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Carlos Soto Molina","MED","Carlos Soto Molina Central Midfield","24","N/A","€105k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Diego Vergara","MED","Diego Vergara Central Midfield","23","N/A","€120k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Marcel Cortéz","DEF","Marcel Cortéz Right-Back","30","N/A","€100k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Esteban Antilef","DEL","Esteban Antilef Right Winger","22","N/A","€105k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Diego Lara","ARQ","Diego Lara Goalkeeper","28","N/A","€85k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Bastián Melo","DEF","Bastián Melo Centre-Back","25","N/A","€90k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Diego Pezoa","MED","Diego Pezoa Attacking Midfield","32","N/A","€130k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Juan Gutiérrez","MED","Juan Gutiérrez Attacking Midfield","36","N/A","€105k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Brandon Cáceres","DEF","Brandon Cáceres Left-Back","24","N/A","€115k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Diego Bielkiewicz","DEL","Diego Bielkiewicz Centre-Forward","35","N/A","€120k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Abel Moreno","MED","Abel Moreno Central Midfield","23","N/A","€115k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Ricardo Fuenzalida","DEL","Ricardo Fuenzalida Right Winger","33","N/A","€105k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Daniel Retamal","ARQ","Daniel Retamal Goalkeeper","30","N/A","€105k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Felipe Escobar","DEL","Felipe Escobar Left Winger","32","N/A","€135k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Santiago Ayala","DEL","Santiago Ayala Centre-Forward","23","N/A","€115k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Sebastián Namoncura","MED","Sebastián Namoncura Attacking Midfield","20","N/A","€130k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
"Juan Abarca","DEF","Juan Abarca Centre-Back","37","N/A","€105k","https://www.transfermarkt.com/cd-provincial-osorno/kader/verein/14753/saison_id/2025"
