"name","position","position_raw","age","number","market_value","source"
"Hernán Becica","MED","Hernán Becica Central Midfield","39","N/A","€125k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Luis Felipe Maluenda","DEL","Luis Felipe Maluenda Right Winger","22","N/A","€115k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Mauro Maureira","MED","Mauro Maureira Central Midfield","24","N/A","€110k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Renato Tarifeño","DEL","Renato Tarifeño Left Winger","29","N/A","€130k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Benjamín Castro","DEL","Benjamín Castro Left Winger","19","N/A","€120k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Bastián Araya","MED","Bastián Araya Central Midfield","26","N/A","€130k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Diego Cerón","DEF","Diego Cerón Centre-Back","34","N/A","€110k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Martín Lara","MED","Martín Lara Central Midfield","25","N/A","€110k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Sebastián Contreras","DEF","Sebastián Contreras Centre-Back","30","N/A","€115k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Camilo Matamala","DEF","Camilo Matamala Right-Back","20","N/A","€105k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Bastián Solano","DEF","Bastián Solano Centre-Back","26","N/A","€120k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Kevin Catalán","ARQ","Kevin Catalán Goalkeeper","26","N/A","€80k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Odswart Canessa","DEF","Odswart Canessa Left-Back","26","N/A","€95k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Matías Ávila","MED","Matías Ávila Central Midfield","28","N/A","€115k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Luis Cabrera","MED","Holding Midfield","32","N/A","€115k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Diego Cuéllar","DEL","Diego Cuéllar Centre-Forward","39","N/A","€120k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Claudio Abarca","ARQ","Claudio Abarca Goalkeeper","32","N/A","€90k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Cristian Duma","DEL","Cristian Duma Centre-Forward","29","N/A","€120k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Jaime Soto","DEF","Jaime Soto Right-Back","33","N/A","€95k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Gabriel Suazo L.","DEL","Gabriel Suazo L. Right Winger","19","N/A","€105k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Benjamín Cortés","DEL","Benjamín Cortés Left Winger","23","N/A","€135k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"David Salazar","DEL","David Salazar Centre-Forward","26","N/A","€120k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Lens Leger","DEL","Lens Leger Right Winger","23","N/A","€130k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Guillermo Orellana","ARQ","Guillermo Orellana Goalkeeper","39","N/A","€90k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"César González Silva","DEF","César González Silva Centre-Back","23","N/A","€100k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Erick Millalen","DEF","Erick Millalen Centre-Back","26","N/A","€90k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Luis Oyarzo","MED","Luis Oyarzo Attacking Midfield","29","N/A","€105k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
"Sergio Bobadilla","MED","Sergio Bobadilla Central Midfield","25","N/A","€115k","https://www.transfermarkt.com/provincial-ovalle/kader/verein/66291/saison_id/2025"
