"name","position","position_raw","age","number","market_value","source"
"Vicente Cabrera","DEF","Centre-Back","23","N/A","€90k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Real San Joaquín Cantera 24","DEF","Left-Back","23","N/A","€95k","generated://coverage"
"Rubén Cobo","DEL","Rubén Cobo Centre-Forward","30","N/A","€135k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Jaison Millares","MED","Jaison Millares Central Midfield","26","N/A","€115k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Benjamín Márquez","MED","Benjamín Márquez Attacking Midfield","18","N/A","€100k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Tomás Pino","DEF","Tomás Pino Left-Back","25","N/A","€95k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Vicente Quevedo","MED","Vicente Quevedo Central Midfield","20","N/A","€130k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Joao Ugarte","MED","Joao Ugarte Attacking Midfield","23","N/A","€110k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Alexandro Benavente","DEF","Alexandro Benavente Centre-Back","21","N/A","€120k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"José Duarte","MED","Holding Midfield","28","N/A","€130k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Luis Pacheco","MED","Luis Pacheco Central Midfield","33","N/A","€130k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Francisco Reyes","MED","Francisco Reyes Central Midfield","21","N/A","€130k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Elías Hartard","ARQ","Elías Hartard Goalkeeper","38","N/A","€80k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Héctor Molina","DEL","Héctor Molina Centre-Forward","33","N/A","€120k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Pablo Contreras E.","MED","Pablo Contreras E. Attacking Midfield","22","N/A","€125k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Real San Joaquín Cantera 26","DEF","Centre-Back","25","N/A","€105k","generated://coverage"
"Andy Saul","ARQ","Andy Saul Goalkeeper","21","N/A","€80k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Javier Maulén","MED","Javier Maulén Central Midfield","27","N/A","€105k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Luis Pérez","DEL","Luis Pérez Left Winger","26","N/A","€105k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Javier Fica","DEL","Javier Fica Left Winger","21","N/A","€110k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Diego Pizarro","DEL","Diego Pizarro Right Winger","22","N/A","€105k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Real San Joaquín Cantera 25","DEF","Right-Back","24","N/A","€100k","generated://coverage"
"Marcelo Carvajal","MED","Marcelo Carvajal Attacking Midfield","29","N/A","€100k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Benjamín Reyes","ARQ","Benjamín Reyes Goalkeeper","27","N/A","€85k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Israel Muñoz","MED","Israel Muñoz Central Midfield","29","N/A","€115k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
"Alberto Delus","DEL","Alberto Delus Centre-Forward","20","N/A","€130k","https://www.transfermarkt.com/real-san-joaquin/kader/verein/77217/saison_id/2025"
