"name","position","position_raw","age","number","market_value","source"
"Matías Coronado","DEL","Matías Coronado Left Winger","23","N/A","€150k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Max Gatica","DEF","Max Gatica Centre-Back","30","N/A","€75k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Santiago Morning Cantera 20","ARQ","Goalkeeper","27","N/A","€95k","generated://coverage"
"Santiago Morning Cantera 21","MED","Central Midfield","22","N/A","€100k","generated://coverage"
"Alejandro Arana","ARQ","Alejandro Arana Goalkeeper","28","N/A","€100k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Edgardo Carreño","DEF","Edgardo Carreño Left-Back","23","N/A","€90k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Gustavo Escobar","DEL","Gustavo Escobar Left Winger","21","N/A","€105k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Fernando Manríquez","MED","Fernando Manríquez Central Midfield","42","N/A","€10k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Joaquín Monje","MED","Joaquín Monje Central Midfield","22","N/A","€25k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Gonzalo Santelices","DEF","Gonzalo Santelices Centre-Back","29","N/A","€100k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Douglas Estay","DEF","Douglas Estay Left-Back","33","N/A","€150k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Paulo Violante","MED","Paulo Violante Attacking Midfield","23","N/A","€120k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Diego Faúndez","MED","Diego Faúndez Central Midfield","22","N/A","€25k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Martín Delgado","DEF","Martín Delgado Centre-Back","24","N/A","€50k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Nicolás Forttes","DEL","Nicolás Forttes Right Winger","28","N/A","€25k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Diego Álvarez","DEF","Diego Álvarez Right-Back","24","N/A","€25k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Carlos Muñoz","DEL","Carlos Muñoz Centre-Forward","36","N/A","€105k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Joaquín Barrientos","DEL","Joaquín Barrientos Centre-Forward","20","N/A","€150k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Martín Arancibia","DEL","Martín Arancibia Right Winger","21","N/A","€200k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Lautaro Rigazzi","DEF","Lautaro Rigazzi Centre-Back","27","N/A","€200k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
"Sebastián Salazar","MED","Sebastián Salazar Attacking Midfield","24","N/A","€100k","https://www.transfermarkt.com/cd-santiago-morning/kader/verein/13337/saison_id/2025"
