- 25. Jorge Manduca Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Hernán Aguirre (Sub-20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Joaquín Aylagas (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Robert Moewes (ALE) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Javier Cordero Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Lecaros (2000) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Nicolás González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Salas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Campestrini (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Valentina Hernández Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Salazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Diaz (2003) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Monserrat Wolf Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Yaritza Jara Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Nieto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Roberto Hernández (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Matías Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Meneses Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Matías Fracchia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Gonzalo Mosquera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bayron Saavedra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Francisco Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Díaz Carrasco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Riveros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Nicolás Ortiz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Yonathan Parancán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Henry Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Joaquín Pereyra (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Hardy Cavero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Lucas Méndez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Lucio Paulizzi (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Felipe Aguilera (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daglas Maldonado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
