"name","position","position_raw","age","number","market_value","source"
"Byron Espinoza","DEL","Delantero","25","N/A","€100k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Cristián Rojas","DEL","Delantero","26","N/A","€100k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Matías Vilchez","DEF","Left-Back","24","N/A","€65k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Ariel Pizarro","MED","Volante","27","N/A","€90k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Francisco Rojas","DEF","Defensa","23","N/A","€75k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Matías Miranda","DEL","Delantero","21","N/A","€95k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Benjamín Méndez","MED","Volante","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Thomas González","DEL","Delantero","20","N/A","€80k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Maximiliano Farías","ARQ","Portero","28","N/A","€75k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Daniel Espinoza Leiva","MED","Volante","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Marcos San Martín","DEL","Delantero","20","N/A","€70k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Bayron Levín","DEL","Delantero","19","N/A","€80k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Roberto Zenteno","DEF","Centre-Back","24","N/A","€70k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Ignacio Vega","DEL","Delantero","19","N/A","€75k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Giovanni Montoya","MED","Volante","25","N/A","€80k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Felipe Aravena","DEF","Centre-Back","27","N/A","€80k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Alberto Tamayo","ARQ","Portero","30","N/A","€60k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Vicente Urrestarazu","MED","Volante","21","N/A","€65k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Rolando Martínez","ARQ","Portero","23","N/A","€45k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Ronald Tapia","DEF","Defensa","23","N/A","€80k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Christian Zamorano","DEF","Defensa","28","N/A","€65k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Nicolás Astudillo","MED","Volante","25","N/A","€75k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Nicolás Saldías","MED","Volante","21","N/A","€95k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Bryan Ramírez","DEF","Defensa","26","N/A","€85k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Bayron Rojas","DEF","Right-Back","26","N/A","€75k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Mario Aguilar (2002)","DEF","Centre-Back","26","N/A","€75k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Guillermo Maturana","MED","Volante","24","N/A","€95k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
"Carlos Garay","MED","Volante","23","N/A","€65k","https://enelcamarin.cl/joomsport_team/csdc-aguara/?sid=161334"
