name,position,position_raw,age,number,market_value,source
Paz Valdivia,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Jeanette Tobar,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
María Ignacia Zúñiga,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Autogol,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
12. Nicolás Peric Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
12. Joaquín García Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
25. Joaquín Muñoz Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Eryin Sanhueza Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Joaquín García Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Joaquín Muñoz Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Tomás Ahumada Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
1. Matías Hurych Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
25. José Devecchi Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Álvaro Salazar Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
25. Daniela Garcia Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
12. Camila Contreras Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
33. Matías Álvarez (Sub 21) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Jacqueline Montes Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Francisco Pinochet (2004) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Ángel Marval (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Daniella Rojas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Oscar Ustari (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Gonzalo Collao Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Cristóbal Piña (2007) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Valeria Rojas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Omar Carabalí Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Moira Hernández Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Paz Cárdenas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Laura Cifuentes Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Javiera Caroca Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Martín Ballesteros Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Pedro Garrido Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Carlos Labrín Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Osvaldo Bosso Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
3. Manuel Fernández Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
5. Fabián Torres Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
Nicolás Crovetto Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/audax-italiano-2/?sid=161376
