"name","position","position_raw","age","number","market_value","source"
"Juan Carlos Vargas","DEL","Delantero","20","N/A","€85k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Sebastián Astorga","MED","Volante","26","N/A","€70k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Daniel Reyes","DEF","Left-Back","21","N/A","€75k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Cristóbal López","ARQ","Portero","23","N/A","€60k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Alberto Acevedo","ARQ","Portero","26","N/A","€55k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Darío Espíndola","MED","Volante","21","N/A","€65k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Felipe Maureira","DEF","Centre-Back","27","N/A","€85k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Karim Sarras","DEL","Delantero","22","N/A","€75k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Michael Morales","DEF","Right-Back","22","N/A","€60k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Jaime Arévalo","DEF","Defensa","28","N/A","€70k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Ricardo Vergara Guajardo","DEL","Delantero","26","N/A","€80k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Mauricio Zenteno Jiménez","DEL","Delantero","19","N/A","€95k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Joaquín Acevedo","MED","Volante","25","N/A","€70k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Joaquín Contreras","DEL","Delantero","26","N/A","€100k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Jorge Ávila","DEF","Centre-Back","28","N/A","€80k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Nicolás Arancibia","DEL","Delantero","25","N/A","€85k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Christian Adriazola","ARQ","Portero","30","N/A","€70k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Manuel Cortés","DEF","Defensa","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Manuel Gallardo","MED","Central Midfield","23","N/A","€80k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Gabriel Zúñiga","DEF","Defensa","28","N/A","€85k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Cristóbal Farías","DEF","Defensa","25","N/A","€65k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Sergio Muñoz Cañete","MED","Central Midfield","26","N/A","€70k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Juan Pablo Lorca (2003)","DEL","Delantero","25","N/A","€85k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Benjamín Albornoz","MED","Volante","22","N/A","€90k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Víctor Herrera","MED","Volante","27","N/A","€65k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Luciano Fletcher","DEF","Centre-Back","24","N/A","€70k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Jonathan Navarro","MED","Volante","27","N/A","€75k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
"Cristopher Leyton","MED","Volante","21","N/A","€70k","https://enelcamarin.cl/joomsport_team/chimbarongo-fc/?sid=161334"
