name,position,position_raw,age,number,market_value,source
Gonzalo Collao Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Raúl Olivares Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Hugo Araya Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Claudio González Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
José Quezada Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Sebastián Rojas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Maximiliano Velazco (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Alexander Pinto (2003) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Matías Cano (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Vicente Bernedo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Ángela Córdova Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Evelyn Carvajal Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Nicolás Avellaneda (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Cristián Alarcón (2006) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Tamara Huerta Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Álvaro Salazar Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Vanessa Ojeda (BOL) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Marthina Reyes Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Diego Tapia Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Matías Pérez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
13. Cristián Oviedo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
15. Luis Maldonado (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
19. Mario Larenas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
3. Matías González Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Michael Contreras Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Axl Ríos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Miguel Sanhueza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Cristián Dubó Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
14. Claudio Miranda Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
5. Mario Parra Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Christopher Díaz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Diego Soto Riffo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Esteban Flores Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
5. Sebastián Ramírez (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Nozomi Kimura Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Jorge Espejo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
3. Mauro Muñoz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Brandon Cáceres Aranda (2001) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Daniel Vicencio Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Álex Ibacache Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Juan José Contreras Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Claudio Jopia Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
23. Emiliano García (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Juan Pablo Andrade Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Jaime Soto Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Eric Ahumada Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
17. Manuel Bravo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Nicolás Palma Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
25. Mario Parra Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Rivaldo Hernández Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Carlos González Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Bastián San Juan Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Rodolfo González Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Miguel Escalona Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Jhan Góngora Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Juan Carlos Soto Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Yerko Águila Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Patricio Romero (2005) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Kiara Rojas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Nicole González Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
26. Katherin Rojas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Karinna Maluenda Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Daniela González Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Bastián Tapia Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Kendra Leguas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
5. Melany Ojeda Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Diego González Torres Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
René Vega (2005) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Marco Campagnaro (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Mauro Brasil (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Gabriela Hernández Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Leidy Véliz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Jeannette Abarzúa Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
David Tapia Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Gabriel Rojas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Hugo Rojo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Lucía Arenas (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Agustín Heredia (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Matías Tapia (2007) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Ronald Guzmán Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Diego García Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
10. Jorge Luna (ARG) Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
José Luis Silva Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Pablo Parra Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
14. Matías Fernández Correa Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
17. Arturo Sanhueza Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
Ignacio Jara Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
21. Gonzalo Pérez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobreloa/?sid=161379
