name,position,position_raw,age,number,market_value,source
Damary Vivar,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Stefany Leyton,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Denisse Morales,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Damary Vivanco,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Natalia Lizana,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Autogol,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
1. Francisco Prieto Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Diego Lara Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
22. Sebastián López (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
12. Ariki Yañez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Miguel Vargas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Fernanda Muñoz Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Alejandro Santander Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Leandro Requena (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
13. Jorge Deschamps Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
José Luis Gamonal Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Sebastián Acevedo (2003) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Catalina Castro Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
1. Francisca Muñoz Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
12. Valentina Hernández Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Jorge Deschamps Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Catalina Guzmán Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Macarena Vergara Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Krishnna Valdés Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Antonella González Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Jean Cerda (2003) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Juan Marianjel (2006) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Catalina Rodríguez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Jorge Pinos (ECU) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Matías Vásquez (2007) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Daniella Rojas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Paz Godoy Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
Renato González (2009) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cobresal/?sid=161376
