- 12. Agustín Orion Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Cortés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Pablo Soto Soto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Darío Melo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Julio Fierro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Sanhueza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Omar Carabalí Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Constanza Barrientos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Pinto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego López Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Stéfany Castaño Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Romina Parraguirre Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Carolina Armijo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Daniel Morón Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Marcelo Ramírez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Julio Fierro (Sub-20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniella Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Morales (2004) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Villanueva Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando De Paul Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Canales Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Ryann Torrero Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Javiera Díaz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Mellado Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Bernardita Hernández Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Ballesteros Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
