name,position,position_raw,age,number,market_value,source
Yerko Betancur,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
Carlos Muñoz Henríquez,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
John Sáez,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
Rubén Sepúlveda,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
Joham Parra,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
Víctor Abarzúa,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
25. Jeremy Cobo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
Tomás Meyer (2001) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
Benjamín Estuardo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
Jorge Nuñez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
José Tomás Martínez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
22. Arturo Vásquez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
Francisco Álvarez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
Felipe Montero Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
6. Ignacio Mella Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
Jonathan Pérez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
3. Juan Bustos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
Franco Peñaloza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
29. Sebastián Medina Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
Luis Wills Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
27. Cristián Aguilera Méndez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
14. Mauricio Aedo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
Richard Arenas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
30. Sebastián Rojas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/comunal-cabrero/?sid=161334
