"name","position","position_raw","age","number","market_value","source"
"Martín Orellana","DEF","Defensa","21","N/A","€80k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"José Del Piero Benítez","DEF","Defensa","25","N/A","€70k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Jeferson Castro","DEF","Right-Back","24","N/A","€55k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Patricio Muñoz","DEL","Delantero","21","N/A","€95k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Raúl Pérez Barraza","DEF","Left-Back","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Javier Salazar","DEF","Defensa","23","N/A","€80k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"David Medina Mora","MED","Volante","20","N/A","€90k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Juan Pablo Vega","MED","Volante","22","N/A","€80k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Benjamín Barrera","DEL","Delantero","21","N/A","€80k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Cristián Arrué","MED","Volante","23","N/A","€90k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Benjamín Muñoz Fernández","ARQ","Portero","30","N/A","€75k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Benjamín Ramírez Vargas","MED","Volante","20","N/A","€85k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Cristóbal González","ARQ","Portero","30","N/A","€50k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Alfredo Mejías","ARQ","Portero","28","N/A","€45k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Vicente Veloso","MED","Volante","21","N/A","€65k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Benjamín Iglesias","MED","Volante","24","N/A","€85k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Marcos Guzmán Madariaga","DEF","Centre-Back","25","N/A","€65k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Cristián González Espinosa","DEL","Delantero","26","N/A","€95k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Bastián Duarte","DEL","Delantero","21","N/A","€100k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Cristóbal Rodríguez Vegas","MED","Volante","22","N/A","€70k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Camilo Morales Castillo","DEF","Centre-Back","22","N/A","€55k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Diego Fuentes González","DEL","Delantero","21","N/A","€100k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Rodrigo Cancino Poblete","MED","Volante","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Jefferson Castro","DEF","Centre-Back","22","N/A","€75k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Héctor Daniel Mora","DEL","Delantero","19","N/A","€80k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Javier González","MED","Volante","26","N/A","€90k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Álex Carquín","DEF","Defensa","25","N/A","€85k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
"Vicente Garrido Contreras","DEL","Delantero","24","N/A","€90k","https://enelcamarin.cl/joomsport_team/constitucion-unido/?sid=161334"
