name,position,position_raw,age,number,market_value,source
Jorge Deschamps Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
André Jerez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
13. Nelson Rebolledo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
30. Luis Santelices Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Diego Tapia Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
13. Jorge Deschamps Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Luis Santelices Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Thomas Vergara Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Paulo Garcés Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Fabián Cerda Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Gonzalo Mall Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
1. Pablo Martín Perafán (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Juan Ruz (2004) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
30. Juan Ruz (Sub 21) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Paula Sierra Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Daniela Gómez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Sofía Pavez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Isidora Barriga Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Durby Durán Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Hernán Muñoz Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Paola Hinojosa Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Damián Tello (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
2. Diego Díaz Ahumada Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
3. Yerson Opazo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Eric Godoy Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
15. Daniel Franco Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Christopher Díaz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Alexander Pastene Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
João Ortiz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
21. Kennet Lara Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Daniel Franco (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Diego Díaz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Felipe Saavedra Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Franco Bechtholdt Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Jens Buss Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
Jorge Catejo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/curico-unido/?sid=161379
