- Rocío Sáez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Varas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Segura | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Yudith Rojas | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Paulo Garcés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Hurtado Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Araya Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Cisternas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Rossi Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Katalina Castillo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Kony González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Dominik Paredes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Colomba Jamett Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Sánchez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Giménez (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Marín Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Dominik Paredes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Martina Oyaneder Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Cerda Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Zacarías López Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tania Ulloa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Darlyng Segura Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Rocío Barrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Galleguillos (2010) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Hardy Cavero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bruno Romo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Cristián Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Asta-buruaga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Augusto Barrios Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Patricio Jerez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 34. Francisco Sasmay Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Byron Nieto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Branco Ampuero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Franz Schultz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Gonzalo Fierro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Peñailillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Delfino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Sepúlveda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Sarria Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Naomi Chambe Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Olmos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Francisca Seura Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lukas Soza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Simón González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Gustavo Mencia (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Karla Farías Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Robles Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eric Ahumada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Nicolás Demartini (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paulo Magalhaes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jens Buss Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nayelli Maluenda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Romina Guerra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Giovanna Giovagnoli Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ianna Jeraldo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Paola Araos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kimberly Fredes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Leandro Vega (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Cornejo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Rodríguez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Brandon Estay Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Astorga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mario Larenas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Maluenda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Alvarado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Vidal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Seura Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Ianna Jeraldo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. María Alejandra Leal (COL) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paola Araos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nayeli Maluenda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Amanda Manque Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Berardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Salvo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Antonella Puelles Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Dominique Luna Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Ceballos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Clara Elgueta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Janis Marcoleta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Guerra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Silva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camila González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Florencia Gálvez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
