- Iván Jara | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Baeza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Betancur | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Román | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Vasco Escobar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Escobar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo González | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Morales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Altamirano Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Ramos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Bastián Cabrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Adán Silvestre Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Jorge Núñez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Sebastián Robles Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pedro Uribe Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Camilo Morales Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Talavera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Francisco Valladares Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Ahumada Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Nuñez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Baeza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Cortés Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Romero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo León Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Becerra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Manquilef Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- George Riffo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Cristóbal Cea Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Matías Farías Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Luco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Aguayo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Juan Maldonado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Ponce Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Mario Segura Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Julio Urzúa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Wills Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Benítez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Pino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Cáceres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Godoy Jerez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Delgado Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Fabián Vásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Escobar Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Oscar Méndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Carlos Méndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Aarón Araya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Óskar Méndez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Reyes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Ceballos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Matías Jara Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Contreras Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
