"name","position","position_raw","age","number","market_value","source"
"Deportes Rancagua Cantera 3","DEF","Centre-Back","26","N/A","€85k","generated://coverage"
"Deportes Rancagua Cantera 1","ARQ","Goalkeeper","25","N/A","€75k","generated://coverage"
"Deportes Rancagua Cantera 12","MED","Central Midfield","27","N/A","€75k","generated://coverage"
"Deportes Rancagua Cantera 14","MED","Central Midfield","21","N/A","€85k","generated://coverage"
"Deportes Rancagua Cantera 8","DEF","Centre-Back","23","N/A","€75k","generated://coverage"
"Deportes Rancagua Cantera 6","DEF","Left-Back","21","N/A","€65k","generated://coverage"
"Deportes Rancagua Cantera 4","DEF","Centre-Back","27","N/A","€55k","generated://coverage"
"Deportes Rancagua Cantera 10","MED","Central Midfield","25","N/A","€65k","generated://coverage"
"Deportes Rancagua Cantera 11","MED","Central Midfield","26","N/A","€70k","generated://coverage"
"Deportes Rancagua Cantera 16","DEL","Centre-Forward","23","N/A","€100k","generated://coverage"
"Deportes Rancagua Cantera 7","DEF","Right-Back","22","N/A","€70k","generated://coverage"
"Deportes Rancagua Cantera 5","DEF","Centre-Back","28","N/A","€60k","generated://coverage"
"Deportes Rancagua Cantera 17","DEL","Centre-Forward","24","N/A","€70k","generated://coverage"
"Deportes Rancagua Cantera 18","DEL","Centre-Forward","25","N/A","€75k","generated://coverage"
"Deportes Rancagua Cantera 2","ARQ","Goalkeeper","26","N/A","€45k","generated://coverage"
"Deportes Rancagua Cantera 13","MED","Central Midfield","20","N/A","€80k","generated://coverage"
"Deportes Rancagua Cantera 15","DEL","Centre-Forward","22","N/A","€95k","generated://coverage"
"Deportes Rancagua Cantera 9","MED","Central Midfield","24","N/A","€95k","generated://coverage"
