- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Matías Herrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Cristóbal Vásquez (Sub 20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Cañete Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Aarón Díaz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Samamé Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel García (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Bórquez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Francisco Salazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Suárez Báez (2000) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Olguín Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Romero (VEN) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Vargas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Ignacio Narr Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Cabrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Quezada Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Karla Saavedra Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Javiera Pizarro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Zaray Agurto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Yesmery Tavárez (VEN) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Salvador Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Sáez (2005) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ariela Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Guzmán Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Macarena Vergara Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Kirkman Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sofia Araveda Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Salazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Cristián Sepúlveda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
