- María Berrocal | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- María López | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Giuliana León | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Dannia Mora | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Carruz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Melissa Jaque | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nayelly Contreras | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Solange Painén | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Camilo Trejos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Otárola Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Luis Gamonal Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Orellana Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Juaquín Gutiérrez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Nicolás Sandoval Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Obregón (COL) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Sebastián López (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko Urra Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Camila Cazor Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Brenda Vásquez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Elías Hartard Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan José Garrido Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Álvarez (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Quijada (2006) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Degenhardt (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Valentina Monroy Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Quintun (2007) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Tomás Martínez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Sebastián Domínguez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Cristóbal Vergara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Diego Cayupil Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Yerko Águila Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Luis Casanova Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- John Santander Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Guillermo Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Joaquín Aros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Miguel Aceval Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Jerez Aguayo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Labrín Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Tomás Charles Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés León Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Brayams Viveros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Vergara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Guillermo Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Aros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Casanova Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Di Benedetto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yerko Águila Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Figueroa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Diego Cayupil Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Jerez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Frank Valenzuela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Josthin Neira Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Alonso Garrido Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Medina Nahuelhual Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Ceballos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Torres Matus Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 41. Alan Moreno Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Mauricio Prieto (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Sobarzo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Aníbal Calderón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Romero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alan Alegre (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Martín Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Pacheco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Karoline Ibáñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Yaritza Molina Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yaritza Guzmán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Aravena Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Lavín Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Concha Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Paulo Contreras (2005) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Fernando Ponce (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- David Tati Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Osorio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín López Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor González Chang Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Peñailillo (2003) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lukas Neculhueque (2002) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- María Paz Álvarez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Olivera (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Villegas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javiera Bonometti Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Brayan Troncoso Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Lettieri (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Pereyra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Pinochet (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Stéfano Magnasco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Yasna Caniumil Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Victoria Schulz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Brian Torrealba Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Zambrano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Garrido (2006) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Cristián Canío Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Mathías Riquero Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Nicolás Ramírez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Alfredo Ábalos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Claudio Zamorano Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
