- Carol Negrón | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Alexandra Cruz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Valeska Arias | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Eduardo Lobos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Toselli Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Leonardo Figueroa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Torgnascioli (URU) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Carlos Moreno (MEX) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Marco González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristian Campestrini (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Rozas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Peña Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Lawrence Vigouroux Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Santelices Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Johnny Herrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Paulina Pinto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Fernanda Talavera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Valerie Echeverria Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcia Roldán Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando De Paul Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Kirkman Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Isaac Esquenazi (2004) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ariagny Becerra (VEN) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Oriana Cristancho Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Colomba Jamett Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Vitoria Araujo Soares (BRA) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Krishnna Valdés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pía Zamorano Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Lucciano Maggio (2007) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Excequiel Bustamante (2008) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Cisterna Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Francisco Venegas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Suárez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Velásquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Lucas Domínguez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Pereira Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Dilan Zúñiga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
