"name","position","position_raw","age","number","market_value","source"
"Fabián Saavedra","DEL","Delantero","22","N/A","€75k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Benjamín Gómez","DEF","Defensa","22","N/A","€60k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Alonso Montecinos","ARQ","Portero","29","N/A","€60k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Álvaro Ogalde","ARQ","Portero","27","N/A","€45k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Boris Lagos","DEF","Left-Back","21","N/A","€85k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Máximo Arancibia","MED","Volante","20","N/A","€65k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Eduardo Navarrete","DEF","Centre-Back","28","N/A","€55k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Valentina Muñoz","DEF","Centre-Back","22","N/A","€70k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Felipe Hernández","DEL","Delantero","26","N/A","€75k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Rodolfo Gallardo","MED","Volante","26","N/A","€95k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Nicolás Pardo","MED","Volante","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"René Meléndez","MED","Volante","21","N/A","€75k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Manuel López (ARG)","DEL","Delantero","25","N/A","€70k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Gladys Calderón","DEF","Centre-Back","24","N/A","€85k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Álvaro López","DEL","Delantero","25","N/A","€85k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Alejandro Vásquez","DEF","Defensa","23","N/A","€55k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Darko Guzmán","MED","Volante","26","N/A","€95k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Tomás Aqueveque","DEF","Defensa","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Jasmín Morales","MED","Volante","24","N/A","€80k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Lucas Román","MED","Volante","20","N/A","€70k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Maykol Sánchez (2002)","DEL","Delantero","20","N/A","€90k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"José Luis Silva","MED","Volante","24","N/A","€95k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"André Jerez","ARQ","Portero","24","N/A","€50k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Kevin Hidalgo","DEF","Right-Back","21","N/A","€65k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Nicolás Lecaros Meneses","DEL","Delantero","19","N/A","€75k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Josefina Carrillo","MED","Central Midfield","22","N/A","€75k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Giovanni Bustos (2000)","DEL","Delantero","20","N/A","€90k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
"Enzo Ruiz (URU)","DEF","Defensa","27","N/A","€55k","https://enelcamarin.cl/joomsport_team/lautaro-de-buin/?sid=161334"
