"name","position","position_raw","age","number","market_value","source"
"Jocksan Gutiérrez","MED","Volante","21","N/A","€70k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Nicolás Fuentes Carvacho","DEF","Centre-Back","21","N/A","€55k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Pablo Molina","DEL","Delantero","20","N/A","€90k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Juan Guajardo","ARQ","Portero","29","N/A","€50k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Cristopher Zamora","DEL","Delantero","19","N/A","€95k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Antonio Villagrán","MED","Volante","23","N/A","€65k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Sebastián Torres Sepúlveda","MED","Volante","25","N/A","€80k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Santiago Chicao","DEF","Defensa","21","N/A","€85k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Gonzalo Laurie","DEL","Delantero","26","N/A","€90k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Matías Jerez","DEF","Centre-Back","27","N/A","€85k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Jason Mora","DEF","Left-Back","23","N/A","€55k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Juan Pablo Luco","DEF","Right-Back","23","N/A","€80k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Lucas Quiroga (ARG)","DEL","Delantero","25","N/A","€85k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Bastián Zúñiga","DEF","Defensa","24","N/A","€85k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Christopher Lara","MED","Volante","26","N/A","€70k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Gabriel Fuentes","ARQ","Portero","26","N/A","€65k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Ignacio Farías","DEL","Delantero","26","N/A","€75k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Daniel Durán Mancilla","MED","Volante","26","N/A","€80k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Alex Robles","MED","Volante","24","N/A","€75k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Jaime Mancilla","DEF","Defensa","23","N/A","€55k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Marco Deramond","MED","Central Midfield","27","N/A","€65k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Carlos González","MED","Volante","21","N/A","€70k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Enyer Castro","DEL","Delantero","21","N/A","€80k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Benjamín Gatica","MED","Volante","24","N/A","€80k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Álvaro Rojas","ARQ","Portero","30","N/A","€45k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Stevens Henríquez","DEF","Defensa","23","N/A","€80k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Julio Urzúa","DEF","Centre-Back","23","N/A","€60k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
"Rodrigo Salcedo","DEL","Delantero","23","N/A","€95k","https://enelcamarin.cl/joomsport_team/lota-schwager/?sid=161334"
