- Jair Castro | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Espinoza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Deramond | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Jéldres | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Erick Gacitua | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- José Peña | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Salas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Sebastián Sánchez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Vallejos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Gayoso Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Peña Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 31. Pablo Benítez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Álvaro Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Sebastián Sierra Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Montecinos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Óscar Salazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Pereira Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Julio Junior Bórquez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Fuentealba Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Gajardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Joaquín Alcayaga Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Silva Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Guajardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Fuentes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Alarcón Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Herbert Reyes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Sebastián Butrón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Julio Urzúa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Seguel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Byron Vega Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jason Mora Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Claudio Jeldres (Sub 20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Kevín Riquelme Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Stevens Henríquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Felipe Peñaloza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Nicolás Catril Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Bastián Zúñiga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Jerez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Diego Toro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Sebastián Medina Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Jaime Mancilla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos González Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Matías Farías Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
