"name","position","position_raw","age","number","market_value","source"
"Jairo Moyano","MED","Volante","23","N/A","€75k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Matías Soto Salas","MED","Volante","27","N/A","€95k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Matías Matus","DEF","Defensa","21","N/A","€65k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Diego Anguita","DEF","Centre-Back","25","N/A","€80k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Carlos Pezo","DEL","Delantero","24","N/A","€95k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Andrés Merino","DEF","Centre-Back","27","N/A","€80k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Gunther Nawrath","ARQ","Portero","28","N/A","€60k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Mauricio Poblete","DEF","Defensa","28","N/A","€60k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Julio Inaí","MED","Volante","23","N/A","€85k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Diego Pinto","DEL","Delantero","24","N/A","€85k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Fabián Monilla (Sub-20)","DEF","Defensa","26","N/A","€85k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Felipe Aravena","DEF","Left-Back","27","N/A","€80k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Jeison Flores","MED","Volante","26","N/A","€85k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Carlos Sepúlveda","DEL","Delantero","24","N/A","€85k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Nicolás Núñez Marambio","DEF","Right-Back","28","N/A","€55k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Josué Filún","MED","Volante","20","N/A","€95k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Ignacio Aguilera Jara","DEL","Delantero","24","N/A","€95k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Edgar Melo","MED","Volante","20","N/A","€75k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Fabián Alvarado","DEL","Delantero","25","N/A","€90k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Cristofer Guerra (Sub 20)","ARQ","Portero","25","N/A","€70k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Michel Morales Parra","MED","Volante","26","N/A","€85k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Carlos Muñoz Riquelme","DEL","Delantero","21","N/A","€90k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Matías Huaiquil","DEL","Delantero","19","N/A","€100k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Martín Toro","ARQ","Portero","29","N/A","€60k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Ángel Rojas Martínez","DEF","Centre-Back","23","N/A","€65k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Christian Looff","DEF","Defensa","27","N/A","€60k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Nelson Vidal","MED","Volante","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
"Rodrigo Varela","MED","Volante","24","N/A","€65k","https://enelcamarin.cl/joomsport_team/malleco-unido/?sid=161334"
