- 2. José Barraza | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Nicolás Sierralta | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Matías Carrasco Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Nicolás Contreras Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Arqueros Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Francisco Sanzana Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Cristián Guerra Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Dylan Núñez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Renato Huerta Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Josué Páez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Felipe Rojo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Kevín Guajardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Salazar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Diego Araya Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Marcelo Tapia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Felipe Ibacache Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Marcelo Salinas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Freddy Iturrieta Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Pedro Valladares Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Elías Rivera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Elías Herrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Matías Araya De la Vega Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Hugo Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Bastián Fowler Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Aqueveque Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gerson Valenzuela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Brandon Estay Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Mikerson Miranda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Álvarez Ocayo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Zúñiga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Arriagada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lukcas Munizaga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ronald Quijada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Huarache Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Abraham Bolados Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Dante Cortés Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Matías Saavedra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. David Villarroel Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Jhon Checura Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Jairo Guzmán Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Villalobos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Matías Álvarez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Vicente Barrera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Tomás Rivera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Araya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Espinoza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- David Alcota Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Brian Villalobos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Miranda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Albornoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Sebastián Páez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Roberto Aguirre Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Sebastián Díaz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jordan Villanueva Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Mickelson Miranda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Cristián Navarro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Freddy Iturrieta Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Barraza Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Enzo Figueroa Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Francisco Santrana Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Tomás Rivera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- David González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Sebastián Paéz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Oliden Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Aros Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Varela Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Rosales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Máximo Poblete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 11. José Pizarro Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Hugo Valencia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Cristián Bravo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Matías Farfán Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Melillanca Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Bryan Sánchez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Jesús Gaete Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Johann Barrera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 9. Matías Malinarich Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Alonso Arancibia Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Daniel Carrera Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Iván Berríos Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Ángel Rojas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Chriss Gutiérrez Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Patricio Quezada Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Matías Munizaga Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Pedro Rojas Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Bayron Contreras Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Alan Peña Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Maná Hugueño Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
