"name","position","position_raw","age","number","market_value","source"
"Kevyn Espinosa","MED","Volante","22","N/A","€75k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Jovan Vega","DEL","Delantero","20","N/A","€95k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Michael Fuentes Sandoval","MED","Volante","23","N/A","€65k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Marcelo Tapia","DEF","Defensa","26","N/A","€85k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Felipe Lezana","ARQ","Portero","26","N/A","€65k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Diego Paz","DEL","Delantero","22","N/A","€70k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Johan Jeldres","DEF","Centre-Back","25","N/A","€85k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Sebastián Guzmán","MED","Volante","27","N/A","€95k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Eduardo Palma","DEF","Defensa","23","N/A","€70k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Joaquín Lara Bruzzone","DEF","Left-Back","21","N/A","€60k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Cristóbal Maldonado","DEF","Defensa","25","N/A","€80k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Felipe Ulloa","DEL","Delantero","24","N/A","€75k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Milovan Domínguez","DEF","Centre-Back","28","N/A","€85k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Joaquín Pehuén","DEL","Delantero","26","N/A","€80k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Michael Flores","MED","Volante","21","N/A","€75k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Diego López","ARQ","Portero","24","N/A","€55k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Nicolás Riquelme","DEF","Right-Back","21","N/A","€80k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Bayron Levín","DEL","Delantero","19","N/A","€80k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Adolfo Abarca","DEL","Delantero","21","N/A","€100k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Darío Aravena","MED","Volante","24","N/A","€65k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Sebastián Baeza","MED","Volante","20","N/A","€70k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Luis Moreno","MED","Volante","20","N/A","€75k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Nicolás Navarro","DEF","Centre-Back","26","N/A","€70k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Nicolás Gómez","MED","Volante","22","N/A","€85k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Steven Donoso","MED","Volante","22","N/A","€80k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Cristóbal Osorio (Sub 21)","ARQ","Portero","29","N/A","€70k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Camilo Quiroz","DEF","Defensa","23","N/A","€65k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
"Isaac Herrera","DEL","Delantero","24","N/A","€95k","https://enelcamarin.cl/joomsport_team/municipal-puente-alto/?sid=161334"
