"name","position","position_raw","age","number","market_value","source"
"Michael Garcés","DEL","Delantero","26","N/A","€70k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Gabriel Merino Ampuero","ARQ","Portero","30","N/A","€75k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Matías Tapia Bustos Astudillo","DEF","Centre-Back","26","N/A","€70k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Sebastián Caro","MED","Volante","22","N/A","€90k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Felipe Rivas","DEF","Defensa","26","N/A","€65k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Rodrigo González","DEF","Defensa","24","N/A","€70k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Luciano Ramos","DEL","Delantero","19","N/A","€95k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Matías Pino Rozas","MED","Volante","23","N/A","€85k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Mauricio Avilés","DEL","Delantero","23","N/A","€80k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Matías Espinoza","MED","Volante","27","N/A","€95k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Guillermo Gajardo","ARQ","Portero","26","N/A","€60k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Andrés Merino Garrido","DEF","Centre-Back","27","N/A","€80k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Alan Lagos","DEL","Delantero","21","N/A","€90k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Cristián Oviedo","DEF","Left-Back","27","N/A","€75k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"José Del Piero Benítez Valenzuela","DEF","Defensa","25","N/A","€70k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Michael Leal","ARQ","Portero","27","N/A","€60k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Bayron Muñoz","MED","Volante","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Ángel Véjar","DEF","Defensa","27","N/A","€85k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Luciano Iglesias","DEF","Right-Back","28","N/A","€55k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Benjamín Rojas Mardones","DEF","Centre-Back","23","N/A","€85k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Diego Muñoz Suazo","DEL","Delantero","20","N/A","€90k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Matías Salvo","DEL","Delantero","22","N/A","€90k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Vicente Sobrevía","MED","Volante","20","N/A","€90k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Giovanni Asken","MED","Volante","20","N/A","€80k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Alexis Gutiérrez","MED","Volante","26","N/A","€65k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Joaquín Cisternas","MED","Volante","22","N/A","€70k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Yerald Toledo","DEL","Delantero","22","N/A","€70k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
"Alan Suazo","MED","Volante","26","N/A","€85k","https://enelcamarin.cl/joomsport_team/naval/?sid=161334"
