- 28. Nicolás Saavedra (Sub 20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Manuel Aguilera (Sub 20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriel Merino Ampuero Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Héctor Palma Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jason Gutiérrez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Michael Leal Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Gajardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Jayson Gutiérrez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gaspar Espinoza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Patricio Ramirez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Cristián Oviedo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19, Boris Sandoval Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Jhan Moraga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés Merino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Ángel Véjar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Tapia Bustos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Rivas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Bastián Gallegos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Maycol Meriño Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Martínez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
