"name","position","position_raw","age","number","market_value","source"
"Rodelindo Román Cantera 8","DEF","Centre-Back","28","N/A","€85k","generated://coverage"
"Rodelindo Román Cantera 1","ARQ","Goalkeeper","30","N/A","€50k","generated://coverage"
"Rodelindo Román Cantera 16","DEL","Centre-Forward","20","N/A","€75k","generated://coverage"
"Rodelindo Román Cantera 12","MED","Central Midfield","24","N/A","€85k","generated://coverage"
"Rodelindo Román Cantera 18","DEL","Centre-Forward","22","N/A","€85k","generated://coverage"
"Rodelindo Román Cantera 10","MED","Central Midfield","22","N/A","€75k","generated://coverage"
"Rodelindo Román Cantera 5","DEF","Centre-Back","25","N/A","€70k","generated://coverage"
"Rodelindo Román Cantera 7","DEF","Right-Back","27","N/A","€80k","generated://coverage"
"Rodelindo Román Cantera 3","DEF","Centre-Back","23","N/A","€60k","generated://coverage"
"Rodelindo Román Cantera 2","ARQ","Goalkeeper","23","N/A","€55k","generated://coverage"
"Rodelindo Román Cantera 4","DEF","Centre-Back","24","N/A","€65k","generated://coverage"
"Rodelindo Román Cantera 6","DEF","Left-Back","26","N/A","€75k","generated://coverage"
"Rodelindo Román Cantera 15","DEL","Centre-Forward","19","N/A","€70k","generated://coverage"
"Rodelindo Román Cantera 14","MED","Central Midfield","26","N/A","€95k","generated://coverage"
"Rodelindo Román Cantera 9","MED","Central Midfield","21","N/A","€70k","generated://coverage"
"Rodelindo Román Cantera 13","MED","Central Midfield","25","N/A","€90k","generated://coverage"
"Rodelindo Román Cantera 11","MED","Central Midfield","23","N/A","€80k","generated://coverage"
"Rodelindo Román Cantera 17","DEL","Centre-Forward","21","N/A","€80k","generated://coverage"
