"name","position","position_raw","age","number","market_value","source"
"Brian Mondaca","DEL","Delantero","21","N/A","€75k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Kevin Hidalgo Gatica","DEF","Left-Back","21","N/A","€65k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Martín Ormeño Hermosilla","DEF","Defensa","26","N/A","€65k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Ignacio Contreras","DEF","Right-Back","27","N/A","€85k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Claudio Latorre","DEL","Delantero","24","N/A","€70k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Flavio Rojas","DEF","Defensa","24","N/A","€60k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Javier Guzmán","DEF","Centre-Back","27","N/A","€85k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Matías Améstica","DEF","Defensa","22","N/A","€85k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Fernando Quiroz Calderón","DEL","Delantero","20","N/A","€90k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"René Meléndez Villanueva","MED","Volante","21","N/A","€75k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Sebastián Monreal (2004)","DEF","Centre-Back","26","N/A","€80k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Marco Ruiz","ARQ","Portero","27","N/A","€65k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Eduardo Leal","MED","Volante","25","N/A","€95k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Gonzalo Abán (ARG)","MED","Volante","22","N/A","€95k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Nicolás Astete","MED","Volante","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Esteban Paredes","DEL","Delantero","20","N/A","€75k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Antonio Villagrán (Sub 21)","MED","Volante","24","N/A","€65k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Derlis Alegre (PAR)","DEL","Delantero","21","N/A","€90k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Francisco Ugarte","DEF","Centre-Back","24","N/A","€75k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Wilson Martínez","DEL","Delantero","24","N/A","€75k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Daniel Benavides","MED","Volante","21","N/A","€90k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Brian Leiva","MED","Volante","20","N/A","€80k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Camilo Trejos","ARQ","Portero","30","N/A","€65k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Héctor Vega Guerra","DEL","Delantero","24","N/A","€75k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Nicolás Millar (Sub 20)","MED","Volante","25","N/A","€70k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Gonzalo Mura Jeldes","DEF","Defensa","23","N/A","€65k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Sebastián Parraguez","ARQ","Portero","24","N/A","€70k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
"Matías Farías (Sub-20)","MED","Volante","25","N/A","€90k","https://enelcamarin.cl/joomsport_team/san-antonio-unido/?sid=161378"
