name,position,position_raw,age,number,market_value,source
Engerl Pastrian,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
Jocelyn Cisterna,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
Gabriela Bórquez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
Catalina Fajardo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
Franco Cabrera Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
1. Leandro Gelpi (URU) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
Leonardo Canales Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
1. Abraham Valenzuela (Sub-20) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
Ryann Torrero Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
12. Grace Mora Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
Leandro Cañete Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
12. Renata Ferreira Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
Joanna Osorio Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
Tomás Meyer (2001) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
13. Fernanda Cárdenas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
22. Sebastián López (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
1. Juan Carlos Cabrera Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/santiago-morning/?sid=161379
