- Engerl Pastrian | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jocelyn Cisterna | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Gabriela Bórquez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Fajardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Cabrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Leandro Gelpi (URU) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Leonardo Canales Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Abraham Valenzuela (Sub-20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ryann Torrero Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Grace Mora Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Cañete Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Renata Ferreira Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Joanna Osorio Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tomás Meyer (2001) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Fernanda Cárdenas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Sebastián López (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Juan Carlos Cabrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Flores (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Ignacio Pietrobono (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Katherine Tapia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jonathan Salvador Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Fernanda Cárdenas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Florencia Leiva Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jael Benítez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martina Funck Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Hernán Muñoz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Bernardo Medina (PAR) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Olguín Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcos Villegas (2005) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Francisca Garrido Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Arana (MEX) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Gajardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Marina Cano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joselyn Cisternas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carolina Lillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Consuelo Martínez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacia Zúñiga Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Marcela Pérez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Alan González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Cáceres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Cerón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Vidal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Hugo Bascuñan Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Gómez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Judelin Aveska (HAI) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Rodrigo Canosa (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Palomo (2001) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Issan Carrasco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Javiera Toro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Su Helen Galaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Ramírez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Geraldine Leyton Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Yonathan Parancán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Alexis Machuca (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- René Bugueño Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Camilo Saldaña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Parry Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bárbara Muñoz Bustamante Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rosario Balmaceda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ámbar Soruco Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Rocío Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Villegas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Aquino (PAR) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Kevin Vásquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Matías Ferrari Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nozomi Kimura Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Salomón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Ayala Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Durán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Johan Jeldes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Pino Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Blázquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
