- Nicol Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jimena Tapia | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Angélica Gutiérrez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Carolina Márquez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Laura Silva | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Bayron Martínez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Fuentes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Elías Hartard Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Viana Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Elías Hartard Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Castellanos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nais Arriagada Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Joanna Osorio Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Liornna Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Constanza Muñoz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Hurtado Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Miranda Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ángela Vásquez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Terrazas (2003) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Marcia Roldán Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Paula Morales Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Godoy Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
