- Mirko Rivera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Diego Sánchez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Cristián Guerra Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Sánchez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan José Echave (2001) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Mirko Rivera (Sub-20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Salazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Luis González (Sub 20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Pinto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernando Soto (2006) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Mejía Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Pérez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Montecinos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Catalina Guzmán Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ariela Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Franco Torgnascioli (URU) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Ballesteros Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- María Fernanda Zúñiga Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniella Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Uribe Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Parra Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Natalia Campos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Garrido (2005) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fernanda Álvarez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Julio Fierro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martin Rodríguez Prantl (URU) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Jorge Ampuero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Nelson Córdova (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Ángelo Pizzorno (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Thomas Galdames (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Luis Pavez Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Víctor Méndez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
