- Erwin Neira Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Torres Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Lincopi Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Patryck Salazar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Solís Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Belmar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bayron Aqueveque Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Luciano Vidal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Oscar Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Guerrero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jairo Alvarado Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Viveros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Carreño Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eduardo Riquelme Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Inostroza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Galianu Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Gómez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Fernández Rosales Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Davy Alonzo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Navarrete Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Aguilera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Roberto Coloma Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jeremías Arzola Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Arzola Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Fernández Barrientos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Lingue Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Melipil Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Carlos Martínez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Alarcón Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Marín Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Aguayo Delantero | DEL (Delantero) | Edad: N/A | N??: N/A | Valor: N/A
