name,position,position_raw,age,number,market_value,source
12. Nicolás Covarrubias Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
1. Lucas Guimpert Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
Michael Ahumada Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
1. Javier Cubillos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
José Tomás Martínez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
Rodrigo Cancino Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
Bryan Escobar (2002) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
Luis Guzmán Morales Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
Benjamín Guerrero Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
Alonso Montecinos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
Felipe Asenjo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
Gustavo Javier Gómez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
Abraham Lobos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
Marcelo Cubillos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
Franco Polanco Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
Vicente Barría Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/a-oriente/?sid=166009
