"name","position","position_raw","age","number","market_value","source"
"Cristóbal Rodríguez Carrizo","MED","Volante","25","N/A","€70k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Gonzalo Peña","DEF","Defensa","24","N/A","€55k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Benjamín Martínez Marín","ARQ","Portero","29","N/A","€55k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Diego Barraza","MED","Volante","25","N/A","€75k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Yanko Zamora","DEL","Delantero","25","N/A","€80k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Audax Italiano de Paipote Cantera 33","DEF","Centre-Back","21","N/A","€45k","generated://coverage"
"Juan Silva","DEF","Centre-Back","25","N/A","€50k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Roberto Rozas","MED","Volante","26","N/A","€50k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Jorge Muñoz Peña","MED","Volante","24","N/A","€50k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Audax Italiano de Paipote Cantera 32","DEF","Right-Back","20","N/A","€40k","generated://coverage"
"Ricardo Olivares","ARQ","Portero","26","N/A","€55k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Ítalo Lobos","DEL","Delantero","25","N/A","€55k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Patricio Carrasco","MED","Volante","23","N/A","€65k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Brandon Ulloa","DEL","Delantero","22","N/A","€50k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Eduardo Ibaceta","MED","Volante","19","N/A","€65k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Cristhofer Vega","DEL","Delantero","25","N/A","€60k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Miguel Baeza","MED","Volante","20","N/A","€60k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Héctor Ledezma","MED","Volante","25","N/A","€60k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Richard Ramírez","DEF","Centre-Back","26","N/A","€50k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Jeyson Quijano","DEF","Right-Back","22","N/A","€45k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Manuel Gallardo Vera","MED","Volante","20","N/A","€75k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Sergio León","DEL","Delantero","24","N/A","€50k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
"Franco Aguirre","ARQ","Portero","25","N/A","€50k","https://enelcamarin.cl/joomsport_team/audax-paipote/?sid=166009"
