- Jean Durán | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Ayax Perales | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Opazo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Jean Cubillos | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Cortés | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Jimenez | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Juan Zumelzú Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Javier Carrasco Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Benjamín Aguilera Gallardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- César Celis Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Silva Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Alejandro Rojo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Lucas Gómez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Joaquín Lorca Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Maximiliano Jaña Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Julio Junior Bórquez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Ányelo Saldivia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ángelo Saldivia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Olguín Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Joshua Tapia (2003) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Lara Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Beltrand Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Cabrera (2002) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ivo Vargas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Rivas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Diego Calderón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Bastián Henríquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Matías González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
