"name","position","position_raw","age","number","market_value","source"
"Bayron Ramírez Barraza","MED","Volante","21","N/A","€75k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Yarko Álvarez","DEF","Right-Back","26","N/A","€35k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Cristóbal Ubilla","MED","Volante","22","N/A","€75k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Jimmy Godoy","DEL","Delantero","21","N/A","€70k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Lenin Sáez","DEF","Centre-Back","24","N/A","€60k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Ricardo Carvajal","ARQ","Portero","25","N/A","€30k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Pablo Castro","DEF","Left-Back","25","N/A","€45k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"José Vega","MED","Volante","19","N/A","€45k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Benjamín Gallardo","MED","Volante","20","N/A","€45k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Omar Jaque","DEL","Delantero","23","N/A","€60k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Enio Araya","MED","Volante","20","N/A","€65k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Francisco Álvarez Molina","DEF","Defensa","20","N/A","€50k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Oshman Espinoza","MED","Volante","21","N/A","€45k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Bryan Pinto","MED","Volante","20","N/A","€55k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Pablo Álvarez Ocayo","DEF","Defensa","21","N/A","€55k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Jorge Campillay","DEL","Delantero","24","N/A","€50k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Sergio González Carter","DEL","Delantero","20","N/A","€50k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Alan Hidalgo","MED","Central Midfield","26","N/A","€75k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Martín Rojas Araya","ARQ","Portero","29","N/A","€45k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Juan Zavala","DEL","Delantero","18","N/A","€75k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Cristóbal Sáez","DEF","Defensa","25","N/A","€65k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Andrés Rebolledo","DEF","Centre-Back","24","N/A","€65k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"César Santibáñez","DEF","Defensa","27","N/A","€35k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Cristóbal Torrico","DEL","Delantero","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Nicolás Agüero","MED","Volante","25","N/A","€75k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Emiliano Flores","ARQ","Portero","26","N/A","€55k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Fernando Cano","DEL","Delantero","19","N/A","€60k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
"Álvaro Valdivia","DEF","Centre-Back","20","N/A","€55k","https://enelcamarin.cl/joomsport_team/ceff-copiapo/?sid=166009"
