"name","position","position_raw","age","number","market_value","source"
"Jorge Cortés","DEF","Centre-Back","26","N/A","€35k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Matías Rojas Coloma","DEF","Defensa","20","N/A","€50k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Samuel Avilés Miranda","DEL","Delantero","19","N/A","€65k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Nicolás Ramírez","MED","Volante","21","N/A","€60k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Elvis Araya","DEL","Delantero","22","N/A","€60k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Brandon Maluenda Araya","DEF","Centre-Back","27","N/A","€45k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"José Cárdenas","DEF","Centre-Back","21","N/A","€35k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Vicente Rojas","DEF","Left-Back","20","N/A","€60k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Dyler Cañete","DEF","Defensa","26","N/A","€55k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Jordán Palma","MED","Central Midfield","23","N/A","€50k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Yefri Araya","MED","Central Midfield","19","N/A","€70k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"William González","MED","Volante","23","N/A","€60k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Patricio Beltrán","MED","Volante","25","N/A","€55k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Segundo Pérez","ARQ","Portero","24","N/A","€45k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Cristián Santander","MED","Volante","19","N/A","€60k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Julián León","ARQ","Portero","22","N/A","€40k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Benjamín Cortés (2003)","DEL","Delantero","18","N/A","€75k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Enrique Campos","DEF","Defensa","27","N/A","€55k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Mauricio Regodeceves","MED","Central Midfield","19","N/A","€70k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Jordan Tapia Tabilo","DEF","Defensa","23","N/A","€40k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Luis Rivera","DEL","Delantero","19","N/A","€60k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Cristóbal Ubilla Retamal","MED","Volante","22","N/A","€75k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Ignacio Aranda Olguín","MED","Volante","20","N/A","€45k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Robinson Barrera","DEL","Delantero","22","N/A","€80k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Matías Urízar","DEL","Delantero","25","N/A","€70k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Sebastián Sánchez","ARQ","Portero","23","N/A","€50k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Francisco Gómez Cortés","DEL","Delantero","18","N/A","€50k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
"Javier Medalla","DEF","Right-Back","24","N/A","€50k","https://enelcamarin.cl/joomsport_team/csd-ovalle/?sid=166009"
