name,position,position_raw,age,number,market_value,source
Miguel Torres Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
12. Miguel Cayupi Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
12. Johan Gamboa Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Francisco Briceño Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Gabriel Labbé Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Brayan Mellado Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Paulo San Juan Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
3. Samuel Arias Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Ariel Díaz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Fabián Osorio Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Álex Pailamilla Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
5. Diego Cabrera Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
21. Diego Torres Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
13. Gustavo Sotomayor Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Adrián Ñanculef Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Francisco López Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Benjamín Meza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Matías Irigoyen Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Paolo Castro Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Dixon Véliz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Joaquín Zapata Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Ignacio Sobarzo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Nicolás Martínez Farías Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Leonardo Sepúlveda Arellano Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Tomás Jerez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Alan Miranda Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Nicolás Pérez Zúñiga Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Lucas Machuca Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Cristopher Pino Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Sebastián Andrade Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
10. Bastián Calderón Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
10. Johan Díaz Vásquez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
20. Diego Fernández Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Camilo Cornejo Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
18. Bryan Olivares Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Andrés Castañeda Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Diego Torres Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Luis Arroyo Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Juan Berrocal Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Lucas Molina Arancibia Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Dylan Rissios Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Martin Herrera Flores Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Matías Molina Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Javier Monsalve Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Matías Alvial Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Mariano Carrillo Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Miguel Prieto Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Max Ellson Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Dilan Donoso Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Joshua Solano Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Martín Romero Roca Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
19. Bruno Ramírez Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Martín Garrido Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Dihogo Vergara Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
17. Nahuel Rubio Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
27. Benjamín Bustamante Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
22. Kevin González Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Vicente Garrido Contreras Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Olivier Villanueva Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Johan Díaz Vargas Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Matías Paredes Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Matías Chamorro Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Felipe Jaña Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Pablo Brito Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Matías Gonzales Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Camilo Rojas Olivares Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Adolfo Abarca Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Matías Yáñez Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
DT. José Miguel Catalán Entrenador,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
DT. Jorge Pérez Entrenador,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
DT. Michael Ríos Entrenador,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Tomás Jerez,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Joshua Solano,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Alan Miranda,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Nicolás Pérez Zúñiga,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Martín Romero Roca,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Brayan Mellado,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Lucas Machuca,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Cristopher Pino,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Sebastián Andrade,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
10. Bastián Calderón,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
19. Bruno Ramírez,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
10. Johan Díaz Vásquez,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Martín Garrido,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Miguel Torres,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Paulo San Juan,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
3. Samuel Arias,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Ariel Díaz,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Fabián Osorio,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Álex Pailamilla,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Dihogo Vergara,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
20. Diego Fernández,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
12. Miguel Cayupi,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
5. Diego Cabrera,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
12. Johan Gamboa,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
21. Diego Torres,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
17. Nahuel Rubio,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
27. Benjamín Bustamante,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
13. Gustavo Sotomayor,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Camilo Cornejo,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
22. Kevin González,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
18. Bryan Olivares,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Vicente Garrido Contreras,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Andrés Castañeda,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Olivier Villanueva,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
DT. José Miguel Catalán,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Johan Díaz Vargas,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Matías Paredes,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Diego Torres,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Adrián Ñanculef,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Matías Chamorro,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Francisco López,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Francisco Briceño,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Benjamín Meza,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Matías Irigoyen,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Paolo Castro,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
Luis Arroyo,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cajon-del-maipo/?sid=166009
