- Gonzalo Collao Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Olivares Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Hugo Araya Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio González Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Quezada Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Rojas Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Velazco (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Pinto (2003) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Cano (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Bernedo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ángela Córdova Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Evelyn Carvajal Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Avellaneda (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Alarcón (2006) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Tamara Huerta Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Álvaro Salazar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Vanessa Ojeda (BOL) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Marthina Reyes Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Tapia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Pérez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Cristián Oviedo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Luis Maldonado (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Mario Larenas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Matías González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Michael Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Axl Ríos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Dubó Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Claudio Miranda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Mario Parra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Christopher Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Soto Riffo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Esteban Flores Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Sebastián Ramírez (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nozomi Kimura Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jorge Espejo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Mauro Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Brandon Cáceres Aranda (2001) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Vicencio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Álex Ibacache Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan José Contreras Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Jopia Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Emiliano García (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Pablo Andrade Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Soto Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Eric Ahumada Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Manuel Bravo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Palma Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Mario Parra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rivaldo Hernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián San Juan Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodolfo González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Miguel Escalona Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
