name,position,position_raw,age,number,market_value,source
Víctor Castro Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
1. Ignacio Toro Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Pedro Pizarro (2002) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Esteban Kirkman Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Bayron Martínez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Franco Cabrera Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Marcelo Salcedo (2004) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
4. Jonathan Durán Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
8. Sebastián Carrillo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Leonardo Contreras Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
4. Gonzalo Novoa Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Jeremy Orellana Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
3. Jairo Pozo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Cristián Vega (2000) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
30. Allan Latín Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Salvador Leopold Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
16. José Faundes Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Javier Guzmán Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Ezequiel Luna Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Rodrigo Reinoso Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Dilan Vera Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Brian Torres Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Ignacio Carrasco (2003) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Cristián Díaz Vera (2000) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Luciano Vargas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
Fernando Quiroz Baigorria Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/concon-national/?sid=161378
