"name","position","position_raw","age","number","market_value","source"
"Andrés Díaz Mella","MED","Central Midfield","22","N/A","€45k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Jovan Vega Salinas","DEL","Delantero","19","N/A","€75k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Michael Fuentes Sandoval Bravo","MED","Volante","22","N/A","€45k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Cristóbal Cárdenas","MED","Volante","25","N/A","€55k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Sergio Álvarez","ARQ","Portero","23","N/A","€30k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Felipe Muñoz Mazuela","MED","Volante","25","N/A","€70k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Benjamín Castro","DEL","Delantero","25","N/A","€65k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Bastián Castillo","MED","Volante","19","N/A","€60k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Nicolás Muñoz Lillo","DEF","Defensa","27","N/A","€50k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Bryan Poblete","MED","Central Midfield","21","N/A","€75k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Matías Miranda Sepúlveda","DEF","Centre-Back","23","N/A","€60k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Sebastián Sasso Núñez","ARQ","Portero","23","N/A","€55k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Patricio López","DEF","Defensa","24","N/A","€60k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Gerald Martínez","MED","Volante","19","N/A","€70k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Freddy Valenzuela","DEL","Delantero","18","N/A","€60k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Jurguen Saavedra","DEF","Right-Back","22","N/A","€55k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Carlos Toro","DEL","Delantero","21","N/A","€70k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Ayrton Albornoz","DEF","Defensa","27","N/A","€35k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Francisco López","DEF","Defensa","21","N/A","€35k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Nicholas Muñoz","MED","Volante","19","N/A","€55k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Bastián Carrasco","DEL","Delantero","21","N/A","€70k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Bayron Rojas Vergara","DEF","Left-Back","25","N/A","€55k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Juan Guajardo Toro","ARQ","Portero","28","N/A","€30k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Sebastián Bustos","DEL","Delantero","23","N/A","€70k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Nicolás Aravena","DEL","Delantero","20","N/A","€70k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Brian Arevalo","MED","Volante","20","N/A","€60k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Ítalo Machuca Munoz","DEF","Centre-Back","22","N/A","€60k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
"Rodrigo Aguilera","DEF","Centre-Back","23","N/A","€55k","https://enelcamarin.cl/joomsport_team/cdsc-maipu/?sid=166009"
