"name","position","position_raw","age","number","market_value","source"
"Jeisson López","DEF","Centre-Back","24","N/A","€35k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Axel Pérez Pérez","MED","Volante","20","N/A","€70k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Bruno Contreras","MED","Volante","21","N/A","€50k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Lenin Sáez","DEF","Centre-Back","24","N/A","€60k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Franco Cerda","DEL","Delantero","21","N/A","€65k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Francisco Reyes Herrera","DEF","Centre-Back","27","N/A","€65k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Cristián Arraño","ARQ","Portero","28","N/A","€55k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Pablo Larraín","DEF","Defensa","26","N/A","€50k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Farez Flores","DEF","Defensa","26","N/A","€55k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Luis Alonso Serrano","MED","Volante","25","N/A","€65k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Cristóbal Orellana","DEF","Right-Back","20","N/A","€45k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Joaquín Quintana","DEF","Defensa","27","N/A","€65k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Gabriel Labbé","ARQ","Portero","25","N/A","€35k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Óscar Rojas","MED","Central Midfield","25","N/A","€45k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Francisco Arancibia Muñoz","DEF","Left-Back","24","N/A","€45k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Manuel Gutiérrez Urra","MED","Volante","26","N/A","€50k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Bayron Espinoza","DEL","Delantero","25","N/A","€75k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Jean Aguirre","DEL","Delantero","18","N/A","€65k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Cristopher Cornejo","DEF","Defensa","26","N/A","€45k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Marco Astudillo","DEL","Delantero","24","N/A","€60k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Alfredo Calderón","DEL","Delantero","22","N/A","€70k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Nicolás Saldías","MED","Volante","20","N/A","€75k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Simón Reyes","MED","Volante","24","N/A","€55k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Elías Llopis","MED","Volante","19","N/A","€50k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Diego Abarca","ARQ","Portero","27","N/A","€35k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Giovanni Umaña","DEL","Delantero","21","N/A","€55k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Joaquín Reyes","DEL","Delantero","24","N/A","€55k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
"Samuel Orellana","MED","Volante","19","N/A","€55k","https://enelcamarin.cl/joomsport_team/curacavi-fc/?sid=166009"
