- Jorge Deschamps Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- André Jerez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Nelson Rebolledo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Luis Santelices Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Tapia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Jorge Deschamps Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Luis Santelices Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Thomas Vergara Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Paulo Garcés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Cerda Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Mall Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Pablo Martín Perafán (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Ruz (2004) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Juan Ruz (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Paula Sierra Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Daniela Gómez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sofía Pavez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Isidora Barriga Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Durby Durán Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Hernán Muñoz Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Paola Hinojosa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Damián Tello (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
