name,position,position_raw,age,number,market_value,source
Rocío Sáez,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
Javiera Varas,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
Francisca Segura,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
Yudith Rojas,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
Autogol,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
Paulo Garcés Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
Fernando Hurtado Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
Nicolás Araya Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
Juan Pablo Cisternas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
Agustín Rossi Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
Ignacio González Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
Katalina Castillo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
1. Kony González Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
21. Dominik Paredes Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
1. Colomba Jamett Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
Diego Sánchez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
Tomás Giménez (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
Cristóbal Marín Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-antofagasta/?sid=161379
