name,position,position_raw,age,number,market_value,source
Autogol,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
12. Guillermo Orellana Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
1. Carlos Alfaro Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Emiliano Flores Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Hernán Muñoz Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
12. Jaime Guzmán Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Matías Zamora Olivares Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Matías Araya Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Andrés Fernández Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Richard Leyton Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Nelson Espinoza Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Yamilet Araya Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Ana Paula Garrido Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Emilia Pinto Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Benjamín Arce (2006) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Dominik Paredes Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Julio Fierro Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Brenda Vásquez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Zamira Zamora Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Nicolás Temperini (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
13. Vincent Salas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
José Tiznado Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
17. Cristián Magaña Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Lukas Soza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
José Navarrete Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
27. Rodrigo Jara Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Daniel Mansilla Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
2. Diego García Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Kevin Egaña Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
5. Sebastián Ramírez (URU) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Diego García Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
34. Francisco Sasmay Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Juan Pablo Andrade Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Jeremy Orellana Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
22. Adrián Reta (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Álvaro Valdivia Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Byron Guajardo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Agustín Ortiz Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Danko Espinoza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Wilson Piñones Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Carlos Morales Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Juan José Contreras Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Matías Torres Medina (2000) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Nelson Rebolledo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Bruno Romo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Juan Ignacio Sills (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
David Tati Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Jens Buss Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Axl Ríos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Daiana Masselli (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
15. Constanza Rodríguez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Paula Iriarte Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Francisca Rocha Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Krishna Ramírez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Nicolás Vargas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Yerco Oyanedel Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
Amara Rojas Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/cd-copiapo/?sid=161379
