"name","position","position_raw","age","number","market_value","source"
"Deportes Hualpén Cantera 9","MED","Central Midfield","22","N/A","€65k","generated://coverage"
"Deportes Hualpén Cantera 17","DEL","Centre-Forward","22","N/A","€75k","generated://coverage"
"Deportes Hualpén Cantera 1","ARQ","Goalkeeper","23","N/A","€45k","generated://coverage"
"Deportes Hualpén Cantera 13","MED","Central Midfield","26","N/A","€50k","generated://coverage"
"Deportes Hualpén Cantera 12","MED","Central Midfield","25","N/A","€45k","generated://coverage"
"Deportes Hualpén Cantera 2","ARQ","Goalkeeper","24","N/A","€50k","generated://coverage"
"Deportes Hualpén Cantera 18","DEL","Centre-Forward","23","N/A","€80k","generated://coverage"
"Deportes Hualpén Cantera 14","MED","Central Midfield","19","N/A","€55k","generated://coverage"
"Deportes Hualpén Cantera 3","DEF","Centre-Back","24","N/A","€55k","generated://coverage"
"Deportes Hualpén Cantera 5","DEF","Centre-Back","26","N/A","€65k","generated://coverage"
"Deportes Hualpén Cantera 7","DEF","Right-Back","20","N/A","€40k","generated://coverage"
"Deportes Hualpén Cantera 15","DEL","Centre-Forward","20","N/A","€65k","generated://coverage"
"Deportes Hualpén Cantera 4","DEF","Centre-Back","25","N/A","€60k","generated://coverage"
"Deportes Hualpén Cantera 6","DEF","Left-Back","27","N/A","€35k","generated://coverage"
"Deportes Hualpén Cantera 8","DEF","Centre-Back","21","N/A","€45k","generated://coverage"
"Deportes Hualpén Cantera 16","DEL","Centre-Forward","21","N/A","€70k","generated://coverage"
"Deportes Hualpén Cantera 10","MED","Central Midfield","23","N/A","€70k","generated://coverage"
"Deportes Hualpén Cantera 11","MED","Central Midfield","24","N/A","€75k","generated://coverage"
