- Autogol | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Elías Hartard Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Zacarías López Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Benjamin Dellaserra (Sub-20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Nicolás Nocetti (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Pedro Carrizo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Rodrigo Chinga Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Mauro Pizarro (2000) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gustavo Fuentealba Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Olivares Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Paula Hinojosa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Nicol Vega Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Díaz Usedo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- José Tapia Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Eryin Sanhueza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Antonia Núñez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Digna Kassandra Pérez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Claudia Maddaleno Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Digna Pérez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Elías Hartard Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Cerda Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Federico Lanzillota (ARG) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jovany Campusano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Maximiliano Ojeda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Yonathan Suazo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Durán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Bayron Guajardo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Mirko Opazo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Enzo Ruiz (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. José Antonio Rojas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rodrigo Brito Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Hormazábal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Marko Biskupovic Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Opazo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Facundo Gómez (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 37. Juan José Soriano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Michael Burdiles (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Jean González (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Jason Villanueva Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 11. Lucas Domínguez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. David Achucarro (ARG) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Baeza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- David Montoya (COL) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Rómulo Zanre Zwarg (BRA) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Enzo Ferrario Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 38. Lucas Fasson Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
