name,position,position_raw,age,number,market_value,source
María Berrocal,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
María López,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Giuliana León,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Dannia Mora,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Javiera Carruz,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
15. Melissa Jaque,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Nayelly Contreras,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Solange Painén,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Autogol,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
12. Camilo Trejos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Fernando Otárola Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
José Luis Gamonal Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Guillermo Orellana Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Juaquín Gutiérrez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
13. Nicolás Sandoval Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Brandon Obregón (COL) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
22. Sebastián López (ARG) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Yerko Urra Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Camila Cazor Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Brenda Vásquez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Claudio González Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Elías Hartard Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
Juan José Garrido Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/deportes-temuco/?sid=161379
