"name","position","position_raw","age","number","market_value","source"
"Diego Rojas","MED","Volante","21","N/A","€75k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Catalina Llancao","DEF","Centre-Back","22","N/A","€60k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Leonardo Povea","MED","Volante","21","N/A","€70k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Jorge Faúndez","MED","Volante","23","N/A","€60k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Pablo Cabrera","DEF","Defensa","21","N/A","€35k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Benjamín Arias","ARQ","Portero","25","N/A","€50k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Joaquín López","DEF","Centre-Back","24","N/A","€45k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Nicolás Servetto (ARG)","DEL","Delantero","24","N/A","€50k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Ignacio Vargas (Sub-20)","MED","Volante","22","N/A","€60k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Fernando Castro","MED","Volante","23","N/A","€75k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Agustín Ambiado (2000)","DEF","Defensa","22","N/A","€40k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Pablo Pilar","ARQ","Portero","23","N/A","€50k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Jorge Fernández","DEF","Right-Back","27","N/A","€50k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Matías Zamora","DEL","Delantero","18","N/A","€50k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Cristopher Ojeda","DEL","Delantero","19","N/A","€65k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Cristóbal Guzmán","DEF","Centre-Back","24","N/A","€60k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Nicolás Bobadilla (Sub-20)","MED","Volante","22","N/A","€50k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Gastón Poncet (URU)","DEL","Delantero","19","N/A","€80k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Martín Quezada","ARQ","Portero","27","N/A","€45k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Pablo Araya","DEL","Delantero","25","N/A","€60k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Matías Cárdenas (Sub 21)","DEL","Delantero","18","N/A","€65k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Diego Andrade","MED","Volante","21","N/A","€45k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Xabier Santos","DEL","Delantero","24","N/A","€70k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Nicolás Astete","MED","Volante","21","N/A","€45k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"María Fernanda Obando","MED","Central Midfield","25","N/A","€55k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Estéfani Fernández","DEF","Defensa","26","N/A","€50k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Diego Muñoz (Sub 20)","DEF","Left-Back","24","N/A","€55k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
"Martin Genskowski","DEF","Defensa","23","N/A","€40k","https://enelcamarin.cl/joomsport_team/deportes-valdivia/?sid=166009"
