- 1. Diego Figueroa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Fabián Inostroza Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Figueroa Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Matías Breit (Sub-20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Cristobal Brevis (Sub-20) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 33. Pablo Duque Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Gastón Rodríguez (URU) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. David Pérez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Diego Fuentes Faúndez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Torres Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Pilar Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Paulo Garcés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Beatriz Ríos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Daniela De la Barra Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Benjamín Mellado (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Benjamín Díaz (Sub 21) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Quezada Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- María Beatriz Ríos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Arias Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Alfonso Cabrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Sepúlveda Valdés Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Erick Wiemberg Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Antonio Castillo (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Cristián González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Dagoberto Currimilla Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Ignacio Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Andrés Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Esteban Sáez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Jorge Fernández (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Diego Muñoz (Sub 20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Max Gatica Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Antonio Castillo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Cristhian Venegas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Cristián González Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Ignacio Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Jaime Vera Mardones Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Jorge Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor González Chang Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alex Reyes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Javier Vidal (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Enrique Fuentalba (Sub-20) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Quilapán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Jerez Aguayo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Patricio Jerez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Mario Parra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Byron Mina (ECU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Leandro Zazpe (URU) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Rojas (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Alarcón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Guillermo Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Agustín Ambiado (2000) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Riveros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Ramiro Gálvez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Labrín Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín López Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Ángel Valenzuela Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Sanhueza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Valentina Romero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Catalina Llancao Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Javiera Martínez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Estéfani Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Araceli Eugenín Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Valentina Peña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 2. Francisca Obando Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Almonacid Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 5. Erwín Coronado (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Alexander Zahn (Sub 21) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Máximo Pérez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Guillermo Avello Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Gastón Barrientos Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Kalise Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Martin Genskowski Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Villegas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Isaac Aguilar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Ricardo Escobar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Gonzalo Medina Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Salas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Pablo Cabrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Constanza Rivas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sui-Mei Chang Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- José Del Piero Benítez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Diego Sánchez Mandiola Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Guzmán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Benjamín Acuña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Guzmán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Flores Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Samuel López Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Espinoza Farías Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Vidal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Nicholas Belmar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Povea Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Eduardo Leal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Jorge Gálvez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Eric Pino Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Carlos Opazo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Nahuel Donadell Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Andrés Souper (Sub 20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 8. Pablo Leal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Opazo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Christian Jelves Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Daniel Barreto (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Isaías Peralta Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Naren Solano (COL) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Pablo Leal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Eric Pino Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Isaías Peralta Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Tommy Clark Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Mathías Vidangossy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Paz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 30. Jaime Opazo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Nicolás Bobadilla (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 28. Ignacio Vargas (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Leonardo Cancino (Sub-20) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Bryan Cabello Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Gastón Ada (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Moisés Calupi Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 25. Javier Ramírez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Josué Filún Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 23. Cristián Amarilla (ARG) Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 7. Cristián Canío Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
