"name","position","position_raw","age","number","market_value","source"
"Benjamín Álvarez","MED","Volante","19","N/A","€70k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Leonardo Díaz","DEL","Delantero","21","N/A","€55k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Ricardo Rojas Rojo (Sub 20)","DEF","Defensa","20","N/A","€45k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Alonso Sapiaín Véliz","MED","Volante","20","N/A","€60k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Guillermo Aguirre","DEF","Centre-Back","22","N/A","€60k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Javier Díaz Toro","DEF","Centre-Back","24","N/A","€55k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Benjamín Díaz Araya Carvajal","DEL","Delantero","18","N/A","€65k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Francisco Cáceres","DEL","Delantero","19","N/A","€50k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Francisco Díaz","DEL","Delantero","25","N/A","€65k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Pablo Celis","MED","Volante","20","N/A","€65k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Ariel Salinas","MED","Volante","22","N/A","€70k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Rodrigo Chinga","ARQ","Portero","25","N/A","€45k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Víctor Araya","DEF","Right-Back","24","N/A","€60k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Matías Fracchia","DEF","Defensa","27","N/A","€65k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Benjamín Fuentes Silva","DEF","Left-Back","27","N/A","€45k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Byron Pizarro Jiménez (Sub 20)","DEL","Delantero","20","N/A","€60k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Federico Martín (ARG)","MED","Volante","25","N/A","€50k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Francisco Acuña Vegas (Sub 20)","DEL","Delantero","22","N/A","€55k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Matías Zamora Olivares","ARQ","Portero","22","N/A","€50k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Freddy Vásquez","DEF","Defensa","20","N/A","€45k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Merke Álvarez Veliz (Sub 20)","MED","Volante","25","N/A","€60k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Mauricio Robles Robles","MED","Volante","24","N/A","€75k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Gerald Collao","MED","Volante","23","N/A","€65k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Óscar Quijada","DEF","Defensa","26","N/A","€50k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Johao Ríos","DEL","Delantero","23","N/A","€50k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Benjamín Pérez","ARQ","Portero","27","N/A","€50k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Ignacio Aguilar","DEF","Centre-Back","22","N/A","€40k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
"Matías Fabres","MED","Volante","20","N/A","€70k","https://enelcamarin.cl/joomsport_team/deportes-vallenar/?sid=166009"
