- Fabián Garrido | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- James Astudillo | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Torres Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Flores Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Alfonso Torralbo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 27. Sebastián Sánchez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Camilo Trejos Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Nicolás Sandoval Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 1. Martín Toro Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 12. Juan Herrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Bello Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Juan Pablo Herrera Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Sebastián Retamal Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Johan Navarrete Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 19. Felipe Peñaloza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Francisco Peña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 21. Luis Barra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Ronaldo Correa Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Caro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Ignacio Díaz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 17. Ignacio Mardones Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Manquilef Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 15. David Castro Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Andrés León Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Jorge Fernández Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Diego Sánchez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Mayko Flores Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 16. Rodrigo Acum Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Diego Canales Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Matías Gutiérrez Ortega Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Povea Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Mauricio Torres Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Rafael Herrera Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 29. Diego Sánchez Mandiola Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Francisco Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Joaquín Oyarzún Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 13. Sebastián Salazar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 6. Maximiliano Lara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alex Reyes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Guarda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Álex Acuña Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 24. Isaac Aguilar Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Vicente Catriao Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 26. Bryan Rosel Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Sebastián Pérez Mella Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Marco Solís Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Amaro Araneda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Guerrero Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Alonso Villagra Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Guzmán Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Ruiz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Calderón Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 14. Leonardo Araya Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Carlos Ahumada Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
