"name","position","position_raw","age","number","market_value","source"
"Fernández Vial Cantera 5","DEF","Centre-Back","25","N/A","€45k","generated://coverage"
"Fernández Vial Cantera 15","DEL","Centre-Forward","19","N/A","€80k","generated://coverage"
"Fernández Vial Cantera 13","MED","Central Midfield","20","N/A","€50k","generated://coverage"
"Fernández Vial Cantera 11","MED","Central Midfield","23","N/A","€55k","generated://coverage"
"Fernández Vial Cantera 18","DEL","Centre-Forward","22","N/A","€60k","generated://coverage"
"Fernández Vial Cantera 12","MED","Central Midfield","19","N/A","€45k","generated://coverage"
"Fernández Vial Cantera 2","ARQ","Goalkeeper","26","N/A","€50k","generated://coverage"
"Fernández Vial Cantera 10","MED","Central Midfield","22","N/A","€50k","generated://coverage"
"Fernández Vial Cantera 17","DEL","Centre-Forward","21","N/A","€55k","generated://coverage"
"Fernández Vial Cantera 1","ARQ","Goalkeeper","25","N/A","€45k","generated://coverage"
"Fernández Vial Cantera 3","DEF","Centre-Back","23","N/A","€35k","generated://coverage"
"Fernández Vial Cantera 9","MED","Central Midfield","21","N/A","€45k","generated://coverage"
"Fernández Vial Cantera 7","DEF","Right-Back","27","N/A","€55k","generated://coverage"
"Fernández Vial Cantera 16","DEL","Centre-Forward","20","N/A","€50k","generated://coverage"
"Fernández Vial Cantera 14","MED","Central Midfield","21","N/A","€55k","generated://coverage"
"Fernández Vial Cantera 8","DEF","Centre-Back","20","N/A","€60k","generated://coverage"
"Fernández Vial Cantera 6","DEF","Left-Back","26","N/A","€50k","generated://coverage"
"Fernández Vial Cantera 4","DEF","Centre-Back","24","N/A","€40k","generated://coverage"
