name,position,position_raw,age,number,market_value,source
Maximiliano Samamé Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Iker Ortiz Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Samuel Córdova Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Matías Ramírez Yáñez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Brandon Gómez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Sebastián Medina Nahuelhual Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Ignacio Aguilar Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Cristóbal Ríos Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Isaías Arias Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Vicente Celedón Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Arnaldo Ramírez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Simón Valenzuela Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Kevin Leiva Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Sebastián Rocha Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Vicente Ortega Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Javier González Bucarey Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Sebastián Astorga Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Harry Carnarton Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Michael Fuentes Sandoval Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Nelson Azócar Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Jerick Nancuante Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Raúl Maldonado Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Jesrrel Gálvez Volante,MED,Volante,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Matías Zamorano Domínguez Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Felipe Venegas Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Lukas Román Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Tomás Navarro Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Ángel Melo Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Vicente Fernández Cortés Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Luciano Cárcamo Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Yerko Rojas Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Benjamín Pérez Poblete Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Ignacio Parada Delantero,DEL,Delantero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
DT. Gerardo Febrero Entrenador,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Sebastián Rocha,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Brandon Gómez,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Matías Zamorano Domínguez,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Felipe Venegas,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Vicente Ortega,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Javier González Bucarey,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Sebastián Medina Nahuelhual,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
Sebastián Astorga,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/futuro/?sid=166009
