name,position,position_raw,age,number,market_value,source
Gonzalo Hurtado,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
David Loyola,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
Marcelo Prado,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
Nicolás Soto,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
Diego Palma Albornoz,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
Claudio Pulgar,N/A,N/A,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
Felipe Yáñez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
Juan Guajardo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
Sebastián Acevedo (2003) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
Sebastián Contreras Riquelme Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
Vicente Rossi Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
Julián Santander Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
Martín Celis Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
Ignacio Aguilera Soto Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
Jesús Basso Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/gol-y-gol/?sid=166009
