- Gonzalo Hurtado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- David Loyola | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Marcelo Prado | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Nicolás Soto | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Diego Palma Albornoz | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Claudio Pulgar | N/A (N/A) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Yáñez Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Guajardo Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Acevedo (2003) Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Sebastián Contreras Riquelme Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Vicente Rossi Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Julián Santander Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Celis Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Aguilera Soto Portero | ARQ (Portero) | Edad: N/A | N??: N/A | Valor: N/A
- Jesús Basso Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 32. Eduardo Palma Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Javier Morales Lozano Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 3. Benjamín Plaza Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- 4. Martín Banda Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Núñez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Benjamín Guzmán (2004) Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Dilan Fuenzalida Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristopher Cornejo Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Reyes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Cuevas Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan José Llull Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Raúl Pérez Conejeros Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Muñoz Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martín González Vásquez Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Fuentes Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Irigoyen Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Víctor Vergara Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Martín Osses Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Maximiliano Vega Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Bastián Osorio Defensa | DEF (Defensa) | Edad: N/A | N??: N/A | Valor: N/A
- Juan Oyarce Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Nicolás Lobos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Ignacio Cubillos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Guerra Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Flores Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Matías Allendes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristóbal Benítez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 10. Jordan Moreno Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Héctor Farías Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 20. Jean Paul Vásquez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Cristián Monroy Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alejandro Muñoz Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Fabián Neira Hermosilla Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 15. Benjamín Recabal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Denielco Cornejo Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Lucas Candia Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alexis Fuentes Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 18. Bastián Aguirre Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- 22. Kevin Gutiérrez Toro Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Sergio Inal Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Manuel Gallardo Vera Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Simón Mateluna Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Leandro Rojas Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alejo Araneda Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Jhon González Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Pinochet Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Alexander Pacheco Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Felipe Jiménez Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Daniel Donoso Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
- Aquiles Olivos Volante | MED (Volante) | Edad: N/A | N??: N/A | Valor: N/A
