"name","position","position_raw","age","number","market_value","source"
"Tobías Córdoba","MED","Volante","26","N/A","€70k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Pablo Sepúlveda","ARQ","Portero","29","N/A","€45k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Benjamín Araos","MED","Volante","20","N/A","€65k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Matías Astorga","DEL","Delantero","25","N/A","€75k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Óscar Muñoz","MED","Volante","22","N/A","€60k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Juan Díaz García","MED","Volante","19","N/A","€65k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Hugo Arias","MED","Volante","22","N/A","€45k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Bastián Nova","DEL","Delantero","19","N/A","€50k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Sebastián González","MED","Volante","21","N/A","€55k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Dylan Berríos","DEL","Delantero","23","N/A","€75k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Pablo Gutiérrez","MED","Volante","25","N/A","€75k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Pedro Vergara","MED","Volante","24","N/A","€50k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Diego Aránguiz","DEF","Centre-Back","24","N/A","€40k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Felipe Aguayo","DEL","Delantero","24","N/A","€55k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Benjamín Bustos Castro","DEF","Centre-Back","22","N/A","€35k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Yimmy Colihuinca","DEL","Delantero","25","N/A","€65k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Martín Villalobos Maldonado","DEL","Delantero","21","N/A","€60k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Leandro Poblete","MED","Volante","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Jonathan Gallardo","ARQ","Portero","26","N/A","€35k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Matías Berríos","DEL","Delantero","18","N/A","€60k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Bruno Cruz","DEF","Centre-Back","22","N/A","€55k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Tomás Alarcón Cáceres","DEF","Left-Back","24","N/A","€40k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Diego Peña","ARQ","Portero","24","N/A","€25k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Sebastián Balladares","DEF","Right-Back","23","N/A","€35k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"David Rojas","DEF","Defensa","22","N/A","€65k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Carlos Agüero","DEF","Defensa","21","N/A","€40k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Máximo Ahumada","DEF","Defensa","27","N/A","€45k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
"Oliver Vera","DEF","Defensa","22","N/A","€45k","https://enelcamarin.cl/joomsport_team/julio-covarrubias/?sid=166009"
