"name","position","position_raw","age","number","market_value","source"
"Alejandro Salazar","DEL","Delantero","19","N/A","€50k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Yovanny Soto","MED","Volante","23","N/A","€55k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Joaquín Ibañez","MED","Volante","21","N/A","€60k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Johnny Aguilar","DEL","Delantero","24","N/A","€65k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Carlos Pezo","MED","Volante","24","N/A","€70k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Jason Gutiérrez","ARQ","Portero","25","N/A","€50k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Abel Reinoso","DEF","Centre-Back","26","N/A","€45k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Pablo Ortega","ARQ","Portero","25","N/A","€55k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Matías Alegre","DEL","Delantero","24","N/A","€60k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Nelson Cea","DEF","Centre-Back","20","N/A","€50k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Diego Chávez","DEL","Delantero","22","N/A","€55k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Claudio Solís","MED","Volante","21","N/A","€55k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Joaquín Aguilera","MED","Volante","19","N/A","€65k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Claudio Coloma","MED","Volante","26","N/A","€45k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Ángelo Figueroa","DEF","Defensa","23","N/A","€60k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Bastián Herrera","DEL","Delantero","24","N/A","€55k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Juan Solís","MED","Volante","26","N/A","€60k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Justinne Medina","MED","Volante","20","N/A","€65k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"José Contreras","DEF","Left-Back","21","N/A","€45k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Pablo Pérez","DEF","Right-Back","23","N/A","€55k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Vicente Cartes","DEF","Centre-Back","23","N/A","€65k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Matías Arias","DEL","Delantero","24","N/A","€70k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Benjamín Bravo","DEF","Defensa","25","N/A","€40k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Vicente Cortés-Monroy","DEF","Defensa","21","N/A","€60k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Sebastián Sánchez Yévenes","DEL","Delantero","25","N/A","€75k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Luciano Wills","DEF","Defensa","21","N/A","€35k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Gael Torres","MED","Volante","22","N/A","€55k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
"Diego Flores","ARQ","Portero","28","N/A","€35k","https://enelcamarin.cl/joomsport_team/laja/?sid=166009"
