name,position,position_raw,age,number,market_value,source
Gonzalo Mall Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Nelson Espinoza Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
12. Nelson Espinoza Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
12. Nelson Pinto Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Sebastián Parraguez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
1. Pablo Puebla (Sub-20) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
1. Álvaro Rojas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Matías Carreño Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
1. Lucas Giovini Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Diego Tapia Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Gastón Rodríguez (URU) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
23. Miguel Jiménez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Jonathan Gallardo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Joao Moris (Sub 21) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Martín Riffo Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Carla Hormazábal Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Jorge Deschamps Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Constanza Cabezas Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Mathías Bernatene (URU) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Andro Martinic Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Catalina Rodríguez Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Constanza Barrientos Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Carlos Ili (2005) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Giovanni Torres (2006) Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Joaquín Muñoz Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Matías Olguín Portero,ARQ,Portero,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Andrés Reyes Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Felipe Espinoza Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
24. Francisco Ugarte Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Gonzalo Santelices Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
4. Mauro Aguirre (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Mirko Serrano Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Ricardo Adé Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Nicolás Núñez Marambio Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
29. Diego Sánchez Mandiola Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Yonathan Suazo Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
26. Edison Rodríguez (COL) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Alejandro Zúñiga Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
Kevin Vásquez Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
3. Santiago Molina (ARG) Defensa,DEF,Defensa,N/A,N/A,N/A,https://enelcamarin.cl/joomsport_team/magallanes-2/?sid=161379
